Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Peltsverger, Svetlana"
Text as Data - An Introduction to Document Analytics (H) COMPSCI4074,"<h2>title</h2>Text as Data - An Introduction to Document Analytics (H) COMPSCI4074<h2>summary</h2><p id=""_COMPSCI40740""><span id=""_COMPSCI40741"">This course will introduce stochastic notions necessary for analysing text/documents, in both unsupervised and supervised approaches.</span><span id=""_COMPSCI40742"">&nbsp;</span><span id=""_COMPSCI40743"">The course is designed to be applied in nature, using various text analytics examples, and introducing students to various toolkits for document processing (e.g. Weka/Spark Mlib).</span></p><h2>content</h2><p id=""_COMPSCI407418""><span id=""_COMPSCI407419"">This course aims to introduce students to </span><span id=""_COMPSCI407420"">language modelling, geometric interpretations of documents, information theory, network models and in general the use of </span><span id=""_COMPSCI407421"">stochastic thinking (including building on the probability theory learned during the </span><span id=""_COMPSCI407422"">Data Fundamentals</span><span id=""_COMPSCI407423"">&nbsp;c</span><span id=""_COMPSCI407424"">ourse). This is</span><span id=""_COMPSCI407425"">&nbsp;illustrated through </span><span id=""_COMPSCI407426"">a number of</span><span id=""_COMPSCI407427"">&nbsp;supervised and unsupervised text processing and analytics approaches</span><span id=""_COMPSCI407428"">&nbsp;as well as their applications such as bibliometric analysis, web link analysis, and social media analytics</span><span id=""_COMPSCI407429"">. </span><span id=""_COMPSCI407430"">&nbsp;</span><span id=""_COMPSCI407431"">The course is designed to be applied in nature, using text analytics as an example, and introducing students to various toolkits for document processing (e.g. Weka/Spark </span><span id=""_COMPSCI407432"">Mlib</span><span id=""_COMPSCI407433"">).</span></p><h2>ilo</h2><p id=""_COMPSCI407436""><span id=""_COMPSCI407437"">By the end of this course students will be able to:</span></p><p id=""_COMPSCI407438""><span id=""_COMPSCI407439"">1. </span><span id=""_COMPSCI407440"">Describe classical models</span><span id=""_COMPSCI407441"">&nbsp;for textual representations</span><span id=""_COMPSCI407442"">&nbsp;such as the vector space, network graphs, language modelling.</span></p><p id=""_COMPSCI407443""><span id=""_COMPSCI407444"">2. </span><span id=""_COMPSCI407445"">Identify potential applications of text analytics in practice.  </span></p><p id=""_COMPSCI407446""><span id=""_COMPSCI407447"">3. </span><span id=""_COMPSCI407448"">Describe various common techniques for regression, classification, clustering and topic modelling, and select the appropriate machine learning task for a potential document processing application.</span></p><p id=""_COMPSCI407449""><span id=""_COMPSCI407450"">4. </span><span id=""_COMPSCI407451"">Represent data as features to serve as input to machine learning models. </span></p><p id=""_COMPSCI407452""><span id=""_COMPSCI407453"">5. </span><span id=""_COMPSCI407454"">Assess machine learning model quality in terms</span><span id=""_COMPSCI407455"">&nbsp;of relevant error metrics for</span><span id=""_COMPSCI407456"">&nbsp;document processing tasks, in an appropriate experimental design.</span></p><p id=""_COMPSCI407457""><span id=""_COMPSCI407458"">6. </span><span id=""_COMPSCI407459"">Deploy unsupervised and machine learned approaches for document/text analytics tasks.</span></p> ",COMPSCI4074,Glasgow_Scotland,Text as Data - An Introduction to Document Analytics (H) COMPSCI4074,DM,AI,AI,AI,FPL; AI,AI; DM
Theory of Computation (H) COMPSCI4072,"<h2>title</h2>Theory of Computation (H) COMPSCI4072<h2>summary</h2><p id=""_COMPSCI40720""><span id=""_COMPSCI40721"">This course covers the theory of sequential and concurrent computation. The main topics include the lambda calculus as a foundation for functional computation and the pi calculus as a foundation for concurrent computation; the theory of operational semantics and type systems for both these calculi.</span></p><h2>content</h2><p id=""_COMPSCI407222""><span id=""_COMPSCI407223"">The aim of the course is to show how these two models of computation can be formally defined in order to give a rigorous foundation for sequential and concurrent programming paradigms.</span></p><h2>ilo</h2><p id=""_COMPSCI407224""><span id=""_COMPSCI407225"">By the end of this course students will be able to:</span></p><p id=""_COMPSCI407226""><span id=""_COMPSCI407227"">1. </span><span id=""_COMPSCI407228"">Express concepts such as syntax, semantics and typing rules in a formal way;</span></p><p id=""_COMPSCI407229""><span id=""_COMPSCI407230"">2. </span><span id=""_COMPSCI407231"">Evaluate expressions in lambda calculus according to the definition of the reduction relation</span><span id=""_COMPSCI407232"">;</span></p><p id=""_COMPSCI407233""><span id=""_COMPSCI407234"">3. </span><span id=""_COMPSCI407235"">Determine whether or not expressions in lambda calculus are typable in the simple type system</span><span id=""_COMPSCI407236"">;</span></p><p id=""_COMPSCI407237""><span id=""_COMPSCI407238"">4. </span><span id=""_COMPSCI407239"">Implement lambda calculus expressions in a functional language such as Haskell or ML, or the functional fragment of Python</span><span id=""_COMPSCI407240"">;</span></p><p id=""_COMPSCI407241""><span id=""_COMPSCI407242"">5. </span><span id=""_COMPSCI407243"">Execute pi calculus processes according to the definition </span><span id=""_COMPSCI407244"">of the reduction relation, and determine </span><span id=""_COMPSCI407245"">bisimulation</span><span id=""_COMPSCI407246"">&nbsp;relationships between processes;</span></p><p id=""_COMPSCI407247""><span id=""_COMPSCI407248"">6. </span><span id=""_COMPSCI407249"">Determine whether or not processes in pi calculus are typable in the simple type system</span><span id=""_COMPSCI407250"">;</span></p><p id=""_COMPSCI407251""><span id=""_COMPSCI407252"">7. </span><span id=""_COMPSCI407253"">Implement pi calculus processes in a simulation environment or in an appropriate fragment of the Go programming language</span><span id=""_COMPSCI407254"">;</span></p><p id=""_COMPSCI407255""><span id=""_COMPSCI407256"">8. </span><span id=""_COMPSCI407257"">Connect both the lambda calculus and the pi calculus to logic under Curry-Howard correspondences, which make the foundation for functional and concurrent programming.</span></p> ",COMPSCI4072,Glasgow_Scotland,Theory of Computation (H) COMPSCI4072,FPL,FPL; MSF,FPL; AL,AL,MSF; PDC,AL
Neural networks and deep learning,"<h2>title</h2>Neural networks and deep learning<h2>summary</h2>Neural Networks and Deep Learning recently have gained strong interest (Deep Learning has been considered one of 10 breakthrough technologies by the MIT Technology Review 2013). The aim of the course is to provide a fundamental understanding of important concepts, algorithms, techniques and architectures of neural networks and deep learning.<h2>content</h2>Biological basis (neuron and networks)Artificial neuron modelsArtificial neural networks: Architectures and the learning problemFeedforward neural networks, multi-layer perceptronLearning in neural networks and the backpropagation algorithmDeep Learning: Motivation and conceptsConvolutional neural networks(If time permits:) Recurrent neural networks: Long Short Term Memory (LSTM)(If time permits:) Unsupervised learning: Autoencoders(If time permits:) Generative models: Variational Autoencoder, Generative Adversarial Networks<h2>ilo</h2>After completing the course, students shouldhave a basic overview over neural network and deep learning concepts, algorithms and architectures, suitable applications, capabilities and limitations,be able to apply suitable neural network and deep learning techniques to new problems,analyze the outcome of neural network and deep learning experiments and explore potential methods to improve performance. ",Inf-NNDL,CAU_Germany,Neural networks and deep learning,SEC; NC,AI,AI,AI,AI,AI
Introduction to Nonlinear Optimization,"<h2>title</h2>Introduction to Nonlinear Optimization<h2>summary</h2>Theory and algorithms for solving general, non-linear optimization problems with and without constraints from various fields of application.<h2>content</h2>Classification of optimization problemsOptimality criteria for unconstrained problemsAlgorithms for unconstrained problems, gradient-based and derivative-free methodsAlgorithmic DifferentiationOptimality criteria for problems with constraintsAlgorithms for constraint problems<h2>ilo</h2>Modeling and formalization of optimization tasks given in text formClassify optimization problemsApply optimality criteriaImplement and apply algorithms to solve optimization tasksEvaluate and evaluate the results of optimization algorithms ",inf-EnlOpt,CAU_Germany,Introduction to Nonlinear Optimization,AL,MSF,AL,AL; 09,MSF,AI
Autonomous Learning,"<h2>title</h2>Autonomous Learning<h2>summary</h2>Autonomous Learning research aims at understanding how autonomous systems can efficiently learn from the interaction with the environment, especially by having an integrated approach to decision making and learning, allowing systems to autonomously decide on actions, representations, hyper-parameters and model structures for the purpose of efficient learning. The term ""autonomous"" refers to the ability of the system to learn without or with only very limited external support, which includes manual intervention of humans, availability of pre-defined models or expert knowledge, and availability of large sets of sample data. Specific research topics are: Adaptation of the learning models / techniques based on observations, learning from interaction with the environment, re-using knowledge from one domain in another domain, detection of behaviour that deviates from 'usual' or expected behaviour, and learning from and with other systems of the same kind. The lecture gives an introduction to the field of autonomous learning with a particular focus on a utilisation of the different techniques within intelligent systems. Autonomous Learning is cutting edge research, which means that parts of the lecture are based on current research articles rather than on textbooks. Furthermore, a practitioner's perspective is combined with theoretical understanding of the concepts: the lecture units are combined with traditional exercises but also with practical tasks that have to be solved by making use of techniques discussed in the lecture.<h2>content</h2>a) Introduction and organisationb) Machine learning basicsc) Reinforcement Learningd) Anomaly/Novelty Detectione) Active LearningFurther (depending on time and scope), the following topics may be covered as well:f) Transfer Learningg) Model selection (hyper-parameter optimisation and evaluation)h) Collaborative Learningi) Summary and outlook (incl. meta-learning)<h2>ilo</h2>The overall goal of the course is to derive a basic understanding of the motivation, the general concept, and particularly important methods covering the most prominent parts of the field of autonomous learning. This includes techniques for the following aspects of machine learning:Fully autonomous learning behaviour: hyper-parameter optimisation, transfer learning, (self-)evaluation,self-awareness or environment-awareness with a major focus on anomaly/novelty detectionBy interaction with the environment via sensors and actuators: reinforcement learningBy efficiently integrating humans into the learning process: active learningBy interacting with other intelligent systems: collaborative learningBy using all the above: meta-learningParticular goals are:a) Knowledge / Skills:Understanding of methods for achieving ""intelligence"" in technical systems, control of learning behaviour with minimal user interaction, continuous self-improvement of system behaviour, cooperation in learning between distributed technical systemsb) Abilities:Selection and application of techniques of machine learning in technical systems under real-world conditions to control autonomous system behaviourc) Competencies:Ability to analyse autonomous learning processes and their behaviour, to determine and interpret relevant assessment parameters / Competence to plan, design and develop intelligent technical systems with the ability to learn autonomously ",inf-AuLearn,CAU_Germany,Autonomous Learning,AI; FPL,AI,AI,AI,AI,AI; SDF
Multimedia Signal Processing and Data Compression,"<h2>title</h2>Multimedia Signal Processing and Data Compression<h2>summary</h2>There will be basic features of audiovisual information processing with applications in the compression and coding of audiovisual data. The basics of digital signal processing occupy a wide space (50%). Themes:Basics of human perception (psycho-optics and psycho-acoustics)Basics of digital signal processingBasics of data compressionCompression of multimedia data using the example of JPEG and MPEG<h2>content</h2>1) Basics of human perceptionPsycho-opticsPsycho-acoustics2) Basics of signal processingSignal models and system modelsContinuous and discrete signalsContinuous and discreet Fourier transformationFiltering of audio signals3) Basics of data compressionEntropy codes (Huffmann Code, Arithmetic Code)Dictionaries (Lempel-Ziv)4) Application in the field of audiovisual information processingJPEGMPEG VideoMPEG Audio<h2>ilo</h2>The processing of real-world signals in the computer is a central task of digital signal processing. In this lecture, the basics of continuous and discrete signals as well as their representation and processing in the time and frequency range are discussed. These basics are explained in more detail in the context of data compression of multimedia data (JPEG, MPEG).The lecture deals with the basics of signal processing (50%) as well as its use in the compression of audiovisual data (50%). The students learn the theoretical basics and apply them practically using the example of audio and video compression. Exercises are performed in Matlab/Oktav. ",Inf-DigSig,CAU_Germany,Multimedia Signal Processing and Data Compression,GIT,MSF; GIT,AL; AR,10; AL,AL; 03,GIT; AR
E-Business und E-Marketing,"<h2>title</h2>E-Business und E-Marketing<h2>summary</h2>In this module, important application systems and their implementation are considered as examples. In addition, the integration of subcomponents is considered. Deployment concepts are developed from a business point of view.<h2>content</h2>The subject of the event is the following areas and subsystems of electronic commerce:Web shops and eProcurementCustomer Relationship Management Systems (CRM)Public administration systems (e.g. B. E-Government)mobile tradeIntegration of systems, e.g. web shop with CRM and merchandise management systemsTrade between companies and marketing concepts is considered.<h2>ilo</h2>The participants have an in-depth understanding of selected sub-areas of electronic commerce and other operational application systems. The theoretical aspects known from other events are supplemented by an understanding of the practical procedure. The students have experience in the practical use of the systems and know procedures for the systematic procedure. They have developed the first business models and can understand business models that are typical of electronic commerce. ",WInf-eBeM,CAU_Germany,E-Business und E-Marketing,17,17,SPD; SEP; 17,DM; SE,SPD,17; SE; DM
Mobile Web Development,"<h2>title</h2>Mobile Web Development<h2>summary</h2>This course introduces the concepts, practices, and technologies to design, develop, and manage cross-platform web sites and applications running on modern mobile devices.<h2>ilo</h2>1. Compare and contrast user interactions with web sites and applications delivered as desktop web, mobile web, and mobile application.2. Apply appropriate mobile user interface design principles and techniques to create responsive and touch friendly web user interfaces.3. Use latest web technologies and programming languages to create cross platform web sites and applications.4. Identify and use the appropriate development technologies, tools, and frameworks for mobile web development. ",IT4213,Kennesaw_USA,Mobile Web Development,GIT,SPD,SPD; SEP,SPD,SPD,SDF; SE
3D Modeling and Animation,"<h2>title</h2>3D Modeling and Animation<h2>summary</h2>This course explores the theory and application of 3D geometric model generation and animation. Topics include mesh and Non-uniform Rational B-Spline (NURB) modeling, textures, subdivision and levels of model detail, rigid/constrained body dynamics, and non-rigid/fluid dynamics. Students will be required to develop and animate a complex model, and a significant project is required <h2>ilo</h2>1. Describe the mathematics of 3D modeling and animation2. Apply 3D modeling animation in generating a complex rendered scene3. Utilize modern applications that streamline the modeling and animation process4. Discuss the complexity of modeling and animation and trade-offs between fidelity and performance ",CGDD4113,Kennesaw_USA,3D Modeling and Animation,GIT,GIT; MSF,GIT,GIT,GIT,GIT; SDF
Production Pipeline and Asset Management,"<h2>title</h2>Production Pipeline and Asset Management<h2>summary</h2>This course provides an in-depth exploration of the production of media content. This course covers elements of the production pipeline from concept to content generation to post production and quality assurance. Topics include asset creation and management, cost-quality tradeoffs, and phases of production. Current and emerging models of the production pipeline such as user-generated content and participation will also be discussed. A significant, team-based project is required. <h2>ilo</h2>1. Describe the phases of game and media production2. Apply quality-assurance concepts in a game and media setting3. Work within a team environment to produce game media content4. Describe current and emerging models of game production and user-generated content ",CGDD4603,Kennesaw_USA,Production Pipeline and Asset Management,GIT; HCI,GIT; SPD; 21,SEP; 17,SE; SPD,SPD,SE; SPD
Deep Learning,"<h2>title</h2>Deep Learning<h2>summary</h2>This course covers the foundations of Deep Learning; how to build neural networks and how to design successful deep learning projects. The course topics include convolutional networks, sequence modeling such as recurrent and recursive neural networks (RNNs), long short-term memory (LSTM), Adam, Dropout, BatchNorm, Xavier/He initialization, state-of-the-art technologies, and research topics leveraging Deep Learning. The course includes programming assignments in Python and in TensorFlow. <h2>ilo</h2>1. Understand the state-of-the-art technologies and their trends driving Deep Learning2. Build, train, and apply fully connected deep neural networks3. Understand how to implement efficient neural networks4. Understand key parameters in Deep Learning architecture5. Explain how Deep Learning works6. Demonstrate the capability of communication with peers for research ideas in Deep Learning related fields ",CS4277,Kennesaw_USA,Deep Learning,AI; FPL,AI,AI,AI; SPD,AI,AI
Mobile Software Development,<h2>title</h2>Mobile Software Development<h2>summary</h2>This course primarily focuses on mobile sensor application development and security of smartphones and mobile telecommunication systems. The goals of the course is to provide students with real world relevant mobile sensor app development and improve their knowledge and skills on mobile application development and mobile security. <h2>ilo</h2>1. Use Android Development Environment2. Design a user interface for a mobile device3. Use Android Development Libraries to develop mobile apps4. Test mobile apps ,CS4322,Kennesaw_USA,Mobile Software Development,18,SPD,NC; SE,SPD,SPD,SE; SPD
Information Retrieval,"<h2>title</h2>Information Retrieval<h2>summary</h2>This course covers the fundamentals of Internet search engines, including Web crawlers, inverted indices, hyperlink analysis, and relevance ranking. Also covered are advanced topics including information extraction for knowledge base construction, question answering, search marketing and ad targeting, and activity mining for relevance optimization and personalization. <h2>ilo</h2>1. Master the fundamentals of Web search engines2. Master the Web search related enabling technologies.3. Explore information extraction for knowledge base construction4. Explore search marketing and ad targeting5. Explore relevance optimization ",CS4422,Kennesaw_USA,Information Retrieval,GIT; SEP,DM,AI; 17; NC,AI; 16; 24,AI,AI; DM
HPC & Parallel Programming,"<h2>title</h2>HPC & Parallel Programming<h2>summary</h2>This course will introduce parallel programming techniques for shared memory and distributed memory systems. Topics include threading, OpenMP, and MPI. <h2>ilo</h2>1. Discuss the different processor and memory configurations used in HPC2. Implement programs for shared memory environments using OpenMP3. Implement programs for distributed memory environments using MPI ",CS4522,Kennesaw_USA,HPC & Parallel Programming,PDC,PDC,PDC; FPL,PDC; AR,PDC,PDC; SDF
Cloud Computing,"<h2>title</h2>Cloud Computing<h2>summary</h2>This course discusses the fundamental concepts and techniques of cloud computing. Students will develop an understanding of cloud computing architecture, Infrastructure as a Service (IaaS), Platform-as-a-Service (PaaS), Software as a Service (SaaS), Virtualization, and Application Development on Cloud. <h2>ilo</h2>1. Explain fundamental concepts and architecture of Cloud Computing2. Explain the concepts of IaaS, PaaS, SaaS3. Explain virtualization4. Explain distributed computing environment on cloud5. Develop applications on cloud6. Conduct big data analytics on cloud ",CS4524,Kennesaw_USA,Cloud Computing,AR; SF,SPD,AR; DM,AR,SPD,AR; PDC; SPD; AI; DM
Software Security,"<h2>title</h2>Software Security<h2>summary</h2>The course introduces the fundamental concepts and principles of software security. Topics covered include buffer overflows, defense mechanisms, return oriented programming, reverse engineering, vulnerabilities analysis. Additional topics: mobile security, hardware platform security, embedded system security. <h2>ilo</h2>1. Describe common vulnerabilities in software security and understand how to avoid such problems in software.2. Explain how various attack work in software systems.3. Evaluate and assess security threats, risks, and attack vectors for software systems.4. Design and implement security mechanisms to protect software systems.5. Understand security mechanisms in Android and iOS platforms.6. Discover vulnerabilities of software using various techniques. ",CS4612,Kennesaw_USA,Software Security,SEC,SEC,SEC,SF; SEC,SEC,SE; SEC
Computer and Network Security,"<h2>title</h2>Computer and Network Security<h2>summary</h2>This course is a comprehensive study of the security principles and practices for computer systems and networks. Topics to be covered include basic security concepts, common network attack techniques and impacts, common security policies, Internet protocol vulnerabilities, basic cryptographic tools and secure protocols. Defense techniques such as authentication, access control, encryption, and network intrusion detection will be discussed. This course will also survey new and emerging network security topics, applications and technologies. Exercises for this course will include network programming in some language and using various tools in understanding and analyzing packet traces and network traffic. <h2>ilo</h2>1. Explain the concepts, components, methodology, and architecture of network security;2. Identify, classify and discuss some common network attacks and threats;3. Explain various network access control and authentication techniques, design principles, and protocols;4. Explain various encryption techniques and their vulnerabilities;5. Discuss some new and emerging network security topics, applications, and technologies. ",CS4626,Kennesaw_USA,Computer and Network Security,NC; SEC,SEC,SEC,NC; SEC,SEC,SEC; NC
Internet Programming,"<h2>title</h2>Internet Programming<h2>summary</h2>This course introduces current technologies for modeling, designing, implementing, and developing Web applications. Topics include developing for the server and the client, programming frameworks, server administration and integration with databases. Practice will involve platforms and language such as Linux, Python, PHP, Ruby and JavaScript. <h2>ilo</h2>1. Master the architecture and basic operations of IDE2. Understand the fundamental concepts of web applications3. Model a project based on the MVC model using an MVC diagram4. Design a project with page-flow and dataflow, strategies for separating three layers, and methods for increasing software reusability and maintainability5. Control database CRUD6. Present term project and write documents ",CS4720,Kennesaw_USA,Internet Programming,FPL,SPD,FPL; AR,SPD,SPD,SPD
Natural Language Processing,"<h2>title</h2>Natural Language Processing<h2>summary</h2>This course provides an introduction to the field of natural language processing (NLP). The topics include creating systems that can understand and produce language for applications such as information extraction, machine translation, automatic summarization, question-answering, and interactive dialogue systems. This course covers linguistic (knowledge-based) and statistical approaches to language processing in the areas of syntax (language structures), semantics (language meaning), and pragmatics/discourse (the interpretation of language in context). Students will design and develop programs for analyzing and extracting information from large online corpora. <h2>ilo</h2>1. Demonstrate understanding knowledge of NLP.2. Demonstrate understanding of syntax (language structures).3. Demonstrate understanding of semantics (language meaning), and4. Demonstrate understanding of pragmatics/discourse (the interpretation of language in context).5. Demonstrate the knowledge of NLP applications and implement NLP-related techniques with Python/Java/C++. ",CS4742,Kennesaw_USA,Natural Language Processing,AL; FPL,AI,AI,AI; 19,AI,AI
Global IS Project Management,"<h2>title</h2>Global IS Project Management<h2>summary</h2>In this course, students will be exposed to the basic principles of Global Project Management, effective teamwork and collaboration. It will prepare students to understand key issues in global project management such as project initiation, planning, scheduling, budgeting, risk analysis, quality management and communicating and collaborating across political and cultural boundaries. Tools such as Microsoft Project will be used to develop and track Information Systems projects. <h2>ilo</h2>1. Describe project design and management2. Explain planning, design, and team concepts3. Explain project control mechanisms, estimating techniques and risk assessment4. Discuss budget planning, integration, reporting, and tracking in PM.5. Demonstrate Microsoft Project, illustrate projects in writing and presentation6. Integrate business law and ethics in Information Systems projects.7. Use computer applications to solve common problems at school, work or home.  8. Explain how diverse culture facilitates innovation and project success. ",CYBR3220,Kennesaw_USA,Global IS Project Management,SEP,SEP,SEP; 17,SE; SEP,SEP,SE
Management of Digital Forensics and eDiscovery,"<h2>title</h2>Management of Digital Forensics and eDiscovery<h2>summary</h2>This course explores the key issues in digital forensics: the detection, isolation and response to security breaches and attacks. It provides specific procedures required to respond to a computer crime incident and also provides coverage of the entire digital forensic sequence and the eDiscovery process within organizations. <h2>ilo</h2>1. Define and explain the role of digital forensics in the incident response and investigatory process2. Identify the requirements for proper evidence collection, handling and storage3. Identify and explain basic techniques to properly collect and analyze evidentiary data using appropriate tools and techniques in common scenarios4. Organize and present evidentiary data and investigatory findings for use in corporate or legal proceedings. ",CYBR4350,Kennesaw_USA,Management of Digital Forensics and eDiscovery,GIT,SEP,SEC; 16,SEC,SEC,SEP; SEC
Wireless Security,"<h2>title</h2>Wireless Security<h2>summary</h2>This course explores the theory and practice of securing wireless networks from threats and attacks. Topics include Cryptography, Network Security Protocols, Security and Layered Architecture, Voice-Oriented Wireless Networks, Data-Oriented Wireless Networks, Security in Traditional Wireless Networks, Security in Wireless LAN, and Security in Wireless Ad Hoc Networks. <h2>ilo</h2>1. Describe the fundamental concepts of information security2. Discuss the difference between wireless network security and wired network security3. Explain the security protocols and solutions for data-oriented and voice-oriented wireless systems4. Outline the security issues and solutions in mobile security ",CYBR4833,Kennesaw_USA,Wireless Security,SEC; NC,SEC; NC,SEC; NC,NC; SEC,NC; SEC,SEC; NC
Infrastructure Defense,"<h2>title</h2>Infrastructure Defense<h2>summary</h2>This course provides an overview of the infrastructure assessment and penetration testing process and the processes and techniques for improving the defensibility of that infrastructure. <h2>ilo</h2>1. Apply problem solving skills, core IT concepts, best practices and standards to information technologies2. Identify and evaluate organizational requirements and current and emerging technologies3. Communicate effectively, both in writing and in speaking4. Demonstrate an ability to participate effectively in the planning and execution of team projects ",CYBR4883,Kennesaw_USA,Infrastructure Defense,GIT; SEP,SEC; SEP,SEC; AR,SEC,SEC,SEC; NC
Introduction to Data Analytics and Technology,"<h2>title</h2>Introduction to Data Analytics and Technology<h2>summary</h2>This course provides a comprehensive overview of processing technologies, systems, and application. Latest trends in data analytics, big data, and data science will be introduced. <h2>ilo</h2>1. Describe the role of data and data technologies in todayâ€™s organizational environments.2. Identify key functional areas and trends in data management and analytics.3. Describe common data formats and models used in data driven solutions.4. Compare and contrast technologies, systems, and approaches used for data and information management.5. Analyze the general process and the methods involved in a data analytics solution. ",IT3703,Kennesaw_USA,Introduction to Data Analytics and Technology,DM,DM,DM; AI,DM; AI,SPD,DM; AI
Advanced Web and Mobile Applications,"<h2>title</h2>Advanced Web and Mobile Applications<h2>summary</h2>This course covers advanced topics on web and mobile applications with a focus on modern web application architectures and mobile friendly user interfaces. Students will complete one major development project using the latest web technologies. <h2>ilo</h2>1. Explain modern web application architectures and related concepts.2. Compare major mobile and web development approaches, platforms, and tools.3. Examine and use popular web APIs.4. Apply appropriate web and mobile user interface design principles and techniques.5. Create a cross-platform mobile web application using the latest web technologies and services. ",IT4403,Kennesaw_USA,Advanced Web and Mobile Applications,GIT; AR,SPD,AR; HCI,SPD,SPD,SPD
Clinical Processes and Workflows: Analysis and Redesign,"<h2>title</h2>Clinical Processes and Workflows: Analysis and Redesign<h2>summary</h2>This course introduces the fundamentals of healthcare workflow and process analysis and redesign as a necessary component of complete practice automation. Students will become familiar with the concepts of processes, process analysis and redesign in the healthcare settings. Workflow and process mapping in healthcare improvement including detailed guidance, helpful tools, and case studies are introduced. <h2>ilo</h2>1. Identify the elements involved in patient care in different health care settings that must be taken into consideration when examining and proposing changes in workflow processes2. Use tools to create different diagrams of processes that support healthcare workflow analysis and redesign3. Analyze the workflow processes in healthcare settings to determine their effectiveness4. Evaluate and select ways in which quality improvement methods, tools and health information technology can be applied to improve healthcare workflow processes5. Evaluate and select approaches that would ensure the success of workflow redesign from development and presentation of the implementation plan to facilitation of decision making meetings, implementation of the changes, evaluation of the new processes, sustainability of new workflow processes, and continuous quality improvement efforts to achieve meaningful use ",IT4523,Kennesaw_USA,Clinical Processes and Workflows: Analysis and Redesign,2,SE; 02,01; SPD; 02,02; SPD,SPD,02; SE
Health information Security and Privacy,"<h2>title</h2>Health information Security and Privacy<h2>summary</h2>Health information security and privacy are of utmost importance in today's healthcare environment. This course introduces the concepts, practices and concerns of information privacy and security unique to the healthcare settings. The course provides the student with a thorough understanding of the HIPAA security and privacy rules, meaningful use security requirements, security risk assessment and management, and how to integrate privacy and security into medical practices. Resources of privacy and security in healthcare are provided. <h2>ilo</h2>1. Describe the concepts of information privacy and security in healthcare2. Describe and use HIPAA privacy and security regulations and Meaningful Use  MU  security requirements3. Discuss the components involved in an information security management program in the modern healthcare environment4. Demonstrate familiarity with resources for information privacy and security in healthcare ",IT4533,Kennesaw_USA,Health information Security and Privacy,02; SEC,SEC; SEP; 03,01; SEC; 02,SEC; SEP,SEC; SPD,02; SEP
Big Data System Administration,"<h2>title</h2>Big Data System Administration<h2>summary</h2>This course introduces contemporary distributed big data platforms and database systems. Topics include big data computing paradigms, big data platform architectures and administration, and big data database concepts and administration. <h2>ilo</h2>1. Explain the contemporary big data computing paradigm.2. Compare NoSQL database systems with traditional database systems.3. Perform system administration on contemporary big data platforms ",IT4733,Kennesaw_USA,Big Data System Administration,DM,DM,DM,DM,SPD,AI; DM
Machine Learning for Enterprise Applications,"<h2>title</h2>Machine Learning for Enterprise Applications<h2>summary</h2>This course covers enterprise applications of machine learning on data analytics.  Topics span the complete life cycle of data analytics from envisioning the problem, identifying proper data, selecting suitable machine learning methods, evaluating modeling performance, and deploying the results to improve decision-making. <h2>ilo</h2>1. explain the concepts of supervised and unsupervised learning2. explain the concepts of how machine learning fits in the organization/enterprise and leads to competitive advantages. 3. Perform data analytics using supervised and unsupervised learning. 4. Evaluate the performance of machine learning models on data analysis. ",IT4773,Kennesaw_USA,Machine Learning for Enterprise Applications,AI,AI,AI; 17; DM,DM; AI,AI,DM; AI
Applied Data Driven Solutions,"<h2>title</h2>Applied Data Driven Solutions<h2>summary</h2>This course will apply data technologies and applications in a chosen application domain and expose students to real world problems and issues. Students will analyze, design, and develop a practical and technical data driven solution in a chosen field, such as healthcare, finance, security, social media, academia, sports, and utilities. <h2>ilo</h2>1. Describe common data concepts, practices, and issues in a chosen domain.2. Analyze practical problems and requirements in a context (a company, organization, or other entities).3. Design and develop a technical solution driven by data technologies to address the problems identified. ",IT4793,Kennesaw_USA,Applied Data Driven Solutions,SEC; SE,SE; DM,DM; 17,DM,SPD,DM; SPD
Wireless Security,"<h2>title</h2>Wireless Security<h2>summary</h2>This course covers methods and techniques to secure wireless networks against threats and attacks. The topics may include Security and Cryptography, Network Security Protocols, Security and Layered Architecture, Voice-Oriented Wireless Networks, Data-Oriented Wireless Networks, Security in Traditional Wireless Networks, Security in Wireless LAN, Security in Wireless Ad Hoc Network, Special Topics such as Mobile Security. <h2>ilo</h2>1. Describe the fundamental concepts of information security2. Discuss the difference between wireless network security and wired network security3. Explain the security protocols and solutions for data-oriented and voice-oriented wireless systems4. Outline the security issues and solutions in mobile security ",IT4833,Kennesaw_USA,Wireless Security,NC; SEC,SEC; NC,SEC; NC,NC; SEC,NC; SEC,NC; SEC
